dataset,relative_path,filename,valid,error,keys,poses_shape,trans_shape,betas_shape,dmpls_shape,num_frames,pose_dimensions,fps,gender
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1General_c3d/A4 - look_poses.npz,A4 - look_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[2553, 156]","[2553, 3]",[16],"[2553, 8]",2553,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1General_c3d/A5 - pick up box_poses.npz,A5 - pick up box_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[754, 156]","[754, 3]",[16],"[754, 8]",754,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1General_c3d/A6 - lift box_poses.npz,A6 - lift box_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1006, 156]","[1006, 3]",[16],"[1006, 8]",1006,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1General_c3d/A6- lift box t2_poses.npz,A6- lift box t2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[849, 156]","[849, 3]",[16],"[849, 8]",849,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1General_c3d/A7 - crouch_poses.npz,A7 - crouch_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[608, 156]","[608, 3]",[16],"[608, 8]",608,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1General_c3d/A8 - crouch to lie_poses.npz,A8 - crouch to lie_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[773, 156]","[773, 3]",[16],"[773, 8]",773,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1General_c3d/A9 - lie t2_poses.npz,A9 - lie t2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[946, 156]","[946, 3]",[16],"[946, 8]",946,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Gestures_c3d/D1 - Urban 1_poses.npz,D1 - Urban 1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1843, 156]","[1843, 3]",[16],"[1843, 8]",1843,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Gestures_c3d/D2 - Wait 1_poses.npz,D2 - Wait 1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[4624, 156]","[4624, 3]",[16],"[4624, 8]",4624,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_poses.npz,D3 - Conversation Gestures_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[6086, 156]","[6086, 3]",[16],"[6086, 8]",6086,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Gestures_c3d/D5 - Random Stuff 2_poses.npz,D5 - Random Stuff 2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1996, 156]","[1996, 3]",[16],"[1996, 8]",1996,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Gestures_c3d/D6- CartWheel_poses.npz,D6- CartWheel_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[572, 156]","[572, 3]",[16],"[572, 8]",572,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Gestures_c3d/Female1 Subj Calibration_poses.npz,Female1 Subj Calibration_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[360, 156]","[360, 3]",[16],"[360, 8]",360,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Running_c3d/C10 -  run backwards stop run forward_poses.npz,C10 -  run backwards stop run forward_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[610, 156]","[610, 3]",[16],"[610, 8]",610,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Running_c3d/C11 -  run turn left (90)_poses.npz,C11 -  run turn left (90)_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[278, 156]","[278, 3]",[16],"[278, 8]",278,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Running_c3d/C13 -  run turn left (135)_poses.npz,C13 -  run turn left (135)_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[344, 156]","[344, 3]",[16],"[344, 8]",344,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Running_c3d/C14 -  run turn right  (90)_poses.npz,C14 -  run turn right  (90)_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[511, 156]","[511, 3]",[16],"[511, 8]",511,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Running_c3d/C15 -  run turn right  (45)_poses.npz,C15 -  run turn right  (45)_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[254, 156]","[254, 3]",[16],"[254, 8]",254,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Running_c3d/C16 -  run turn right  (135)_poses.npz,C16 -  run turn right  (135)_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[281, 156]","[281, 3]",[16],"[281, 8]",281,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Running_c3d/C19 -  run to hop to walk_poses.npz,C19 -  run to hop to walk_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[505, 156]","[505, 3]",[16],"[505, 8]",505,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Running_c3d/C2 - Run to stand_poses.npz,C2 - Run to stand_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[639, 156]","[639, 3]",[16],"[639, 8]",639,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Running_c3d/C20 -  run to jump to walk_poses.npz,C20 -  run to jump to walk_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[480, 156]","[480, 3]",[16],"[480, 8]",480,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Running_c3d/C21 -  run to pick up box_poses.npz,C21 -  run to pick up box_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[578, 156]","[578, 3]",[16],"[578, 8]",578,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Running_c3d/C21 s2 -  run to pick up box_poses.npz,C21 s2 -  run to pick up box_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[307, 156]","[307, 3]",[16],"[307, 8]",307,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Running_c3d/C22 -  run with box_poses.npz,C22 -  run with box_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[238, 156]","[238, 3]",[16],"[238, 8]",238,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Running_c3d/C24 -  side step left_poses.npz,C24 -  side step left_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[476, 156]","[476, 3]",[16],"[476, 8]",476,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Running_c3d/C25 -  side step right_poses.npz,C25 -  side step right_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[515, 156]","[515, 3]",[16],"[515, 8]",515,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Running_c3d/C26 -  run to crouch_poses.npz,C26 -  run to crouch_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[360, 156]","[360, 3]",[16],"[360, 8]",360,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Running_c3d/C27 - crouch to run1_poses.npz,C27 - crouch to run1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[386, 156]","[386, 3]",[16],"[386, 8]",386,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Running_c3d/C3 - Run_poses.npz,C3 - Run_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[203, 156]","[203, 3]",[16],"[203, 8]",203,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Running_c3d/C4 - Run to walk1_poses.npz,C4 - Run to walk1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[424, 156]","[424, 3]",[16],"[424, 8]",424,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Running_c3d/C5 - walk to run_poses.npz,C5 - walk to run_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[650, 156]","[650, 3]",[16],"[650, 8]",650,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Running_c3d/C6 - stand to run backwards_poses.npz,C6 - stand to run backwards_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[898, 156]","[898, 3]",[16],"[898, 8]",898,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Running_c3d/C7 -  run backwards_poses.npz,C7 -  run backwards_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[371, 156]","[371, 3]",[16],"[371, 8]",371,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Running_c3d/C8 -  run backwards to stand_poses.npz,C8 -  run backwards to stand_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[529, 156]","[529, 3]",[16],"[529, 8]",529,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Running_c3d/C9 -  run backwards turn run forward_poses.npz,C9 -  run backwards turn run forward_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[275, 156]","[275, 3]",[16],"[275, 8]",275,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Walking_c3d/B1 - stand to walk_poses.npz,B1 - stand to walk_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[747, 156]","[747, 3]",[16],"[747, 8]",747,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Walking_c3d/B10 - walk turn left (45)_poses.npz,B10 - walk turn left (45)_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[950, 156]","[950, 3]",[16],"[950, 8]",950,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Walking_c3d/B11 - walk turn left (135)_poses.npz,B11 - walk turn left (135)_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1123, 156]","[1123, 3]",[16],"[1123, 8]",1123,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Walking_c3d/B12 - walk turn right (90)_poses.npz,B12 - walk turn right (90)_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[931, 156]","[931, 3]",[16],"[931, 8]",931,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Walking_c3d/B13 - walk turn right (45)_poses.npz,B13 - walk turn right (45)_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[997, 156]","[997, 3]",[16],"[997, 8]",997,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Walking_c3d/B14 - walk turn right (135)_poses.npz,B14 - walk turn right (135)_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1076, 156]","[1076, 3]",[16],"[1076, 8]",1076,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Walking_c3d/B15 - walk turn around (same direction)_poses.npz,B15 - walk turn around (same direction)_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1273, 156]","[1273, 3]",[16],"[1273, 8]",1273,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Walking_c3d/B16 - walk turn change direction_poses.npz,B16 - walk turn change direction_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1323, 156]","[1323, 3]",[16],"[1323, 8]",1323,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Walking_c3d/B17 - walk to hop to walk1_poses.npz,B17 - walk to hop to walk1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[754, 156]","[754, 3]",[16],"[754, 8]",754,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Walking_c3d/B18 - walk to leap to walk_poses.npz,B18 - walk to leap to walk_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[683, 156]","[683, 3]",[16],"[683, 8]",683,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Walking_c3d/B19 - walk to pick up box_poses.npz,B19 - walk to pick up box_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[830, 156]","[830, 3]",[16],"[830, 8]",830,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Walking_c3d/B2 - walk to stand t2_poses.npz,B2 - walk to stand t2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[588, 156]","[588, 3]",[16],"[588, 8]",588,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Walking_c3d/B2 - walk to stand_poses.npz,B2 - walk to stand_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[682, 156]","[682, 3]",[16],"[682, 8]",682,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Walking_c3d/B20 - walk with box_poses.npz,B20 - walk with box_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[514, 156]","[514, 3]",[16],"[514, 8]",514,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Walking_c3d/B21 - put down box to walk_poses.npz,B21 - put down box to walk_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1131, 156]","[1131, 3]",[16],"[1131, 8]",1131,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Walking_c3d/B21 s2 - put down box to walk_poses.npz,B21 s2 - put down box to walk_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1377, 156]","[1377, 3]",[16],"[1377, 8]",1377,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Walking_c3d/B21 s3 - put down box to walk_poses.npz,B21 s3 - put down box to walk_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1289, 156]","[1289, 3]",[16],"[1289, 8]",1289,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Walking_c3d/B22 - side step left_poses.npz,B22 - side step left_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1103, 156]","[1103, 3]",[16],"[1103, 8]",1103,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Walking_c3d/B23 - side step right_poses.npz,B23 - side step right_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[999, 156]","[999, 3]",[16],"[999, 8]",999,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Walking_c3d/B24 - walk to crouch_poses.npz,B24 - walk to crouch_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[849, 156]","[849, 3]",[16],"[849, 8]",849,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Walking_c3d/B25 - crouch to walk1_poses.npz,B25 - crouch to walk1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[710, 156]","[710, 3]",[16],"[710, 8]",710,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Walking_c3d/B27 -skip to walk1_poses.npz,B27 -skip to walk1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[808, 156]","[808, 3]",[16],"[808, 8]",808,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Walking_c3d/B3 - walk1_poses.npz,B3 - walk1_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[915, 156]","[915, 3]",[16],"[915, 8]",915,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Walking_c3d/B4 - stand to walk back_poses.npz,B4 - stand to walk back_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[906, 156]","[906, 3]",[16],"[906, 8]",906,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Walking_c3d/B5 - walk backwards_poses.npz,B5 - walk backwards_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1384, 156]","[1384, 3]",[16],"[1384, 8]",1384,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Walking_c3d/B6 - walk backwards to stand_poses.npz,B6 - walk backwards to stand_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[981, 156]","[981, 3]",[16],"[981, 8]",981,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Walking_c3d/B7 - walk backwards turn forwards_poses.npz,B7 - walk backwards turn forwards_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1039, 156]","[1039, 3]",[16],"[1039, 8]",1039,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Female1Walking_c3d/B9 - walk turn left (90)_poses.npz,B9 - walk turn left (90)_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[852, 156]","[852, 3]",[16],"[852, 8]",852,156,120.0,female
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Male1General_c3d/General A1 - Stand_poses.npz,General A1 - Stand_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[745, 156]","[745, 3]",[16],"[745, 8]",745,156,120.0,male
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Male1General_c3d/General A10 -  Lie Down to Crouch_poses.npz,General A10 -  Lie Down to Crouch_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[903, 156]","[903, 3]",[16],"[903, 8]",903,156,120.0,male
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Male1General_c3d/General A11 -   Military Crawl Forward_poses.npz,General A11 -   Military Crawl Forward_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1274, 156]","[1274, 3]",[16],"[1274, 8]",1274,156,120.0,male
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Male1General_c3d/General A12 -   Military Crawl Backwards_poses.npz,General A12 -   Military Crawl Backwards_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1974, 156]","[1974, 3]",[16],"[1974, 8]",1974,156,120.0,male
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Male1General_c3d/General A2 - Sway t2_poses.npz,General A2 - Sway t2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1124, 156]","[1124, 3]",[16],"[1124, 8]",1124,156,120.0,male
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Male1General_c3d/General A2 - Sway t3_poses.npz,General A2 - Sway t3_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1166, 156]","[1166, 3]",[16],"[1166, 8]",1166,156,120.0,male
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Male1General_c3d/General A2 - Sway_poses.npz,General A2 - Sway_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1084, 156]","[1084, 3]",[16],"[1084, 8]",1084,156,120.0,male
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Male1General_c3d/General A3 - Swing Arms While Stand_poses.npz,General A3 - Swing Arms While Stand_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[688, 156]","[688, 3]",[16],"[688, 8]",688,156,120.0,male
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Male1General_c3d/General A4 - Look Around_poses.npz,General A4 - Look Around_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1913, 156]","[1913, 3]",[16],"[1913, 8]",1913,156,120.0,male
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Male1General_c3d/General A5 - Pick Up Box_poses.npz,General A5 - Pick Up Box_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[564, 156]","[564, 3]",[16],"[564, 8]",564,156,120.0,male
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Male1General_c3d/General A6 - Lift Box_poses.npz,General A6 - Lift Box_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[592, 156]","[592, 3]",[16],"[592, 8]",592,156,120.0,male
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Male1General_c3d/General A7 - Crouch_poses.npz,General A7 - Crouch_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[717, 156]","[717, 3]",[16],"[717, 8]",717,156,120.0,male
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Male1General_c3d/General A8 -  Crourch to Lie (forward)_poses.npz,General A8 -  Crourch to Lie (forward)_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[792, 156]","[792, 3]",[16],"[792, 8]",792,156,120.0,male
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Male1General_c3d/General A8 - Crouch to Lie Down_poses.npz,General A8 - Crouch to Lie Down_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[947, 156]","[947, 3]",[16],"[947, 8]",947,156,120.0,male
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Male1General_c3d/General A9 -   Lie (forward) t2_poses.npz,General A9 -   Lie (forward) t2_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[993, 156]","[993, 3]",[16],"[993, 8]",993,156,120.0,male
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Male1General_c3d/General A9 -   Lie (forward)_poses.npz,General A9 -   Lie (forward)_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[283, 156]","[283, 3]",[16],"[283, 8]",283,156,120.0,male
ACCAD,03_human_motion/data/AMASS/raw/ACCAD/Male1General_c3d/General A9 -  Lie Down_poses.npz,General A9 -  Lie Down_poses.npz,True,,"['betas', 'dmpls', 'gender', 'mocap_framerate', 'poses', 'trans']","[1395, 156]","[1395, 3]",[16],"[1395, 8]",1395,156,120.0,male
